"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"KEY","Keycorp","Common stocks","Large cap","Financials","$16,644,177,539","4.36%","0.00","0.00","0.00","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$16,587,540,726","1.51%","0.00","0.00","0.00","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$16,544,852,129","0.00%","0.00","0.00","0.00","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$16,436,753,210","1.78%","0.00","0.00","0.00","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$16,429,205,021","1.23%","0.00","0.00","0.00","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$16,291,690,520","1.08%","0.00","0.00","0.00","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$16,285,680,975","1.69%","0.00","0.00","0.00","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$16,285,680,975","1.58%","0.00","0.00","0.00","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$16,267,157,295","0.25%","0.00","0.00","0.00","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,166,332,708","0.74%","0.00","0.00","0.00","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$16,056,806,200","1.96%","0.00","0.00","0.00","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$15,650,511,065","2.04%","0.00","0.00","0.00","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$15,650,417,972","0.68%","0.00","0.00","0.00","Analyze"
"FSLR","First Solar Inc","Common stocks","Large cap","Information Technology","$15,506,852,031","0.00%","0.00","0.00","0.00","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$15,468,906,656","0.00%","0.00","0.00","0.00","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,352,409,089","2.54%","0.00","0.00","0.00","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$15,330,052,829","1.77%","0.00","0.00","0.00","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$15,216,097,409","1.25%","0.00","0.00","0.00","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$15,027,295,061","0.00%","0.00","0.00","0.00","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$14,993,553,694","0.88%","0.00","0.00","0.00","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,827,413,613","0.00%","0.00","0.00","0.00","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,827,045,844","1.60%","0.00","0.00","0.00","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$14,802,085,535","2.53%","0.00","0.00","0.00","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$14,673,483,636","3.90%","0.00","0.00","0.00","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,628,617,043","0.11%","0.00","0.00","0.00","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,458,496,891","3.65%","0.00","0.00","0.00","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$14,415,089,273","0.00%","0.00","0.00","0.00","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,411,418,691","1.89%","0.00","0.00","0.00","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$14,408,314,867","2.79%","0.00","0.00","0.00","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,230,452,111","4.97%","0.00","0.00","0.00","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,217,080,824","1.38%","0.00","0.00","0.00","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$14,184,402,346","0.00%","0.00","0.00","0.00","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$14,116,619,369","0.00%","0.00","0.00","0.00","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$14,058,055,749","0.42%","0.00","0.00","0.00","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$14,002,770,432","0.00%","0.00","0.00","0.00","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$13,954,542,138","4.54%","0.00","0.00","0.00","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,948,417,024","3.48%","0.00","0.00","0.00","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$13,812,110,520","1.02%","0.00","0.00","0.00","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$13,747,028,201","0.00%","0.00","0.00","0.00","Analyze"
"GEN","Gen Digital Inc.","Common stocks","Large cap","Information Technology","$13,743,693,489","2.36%","0.00","0.00","0.00","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$13,687,725,815","3.25%","0.00","0.00","0.00","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$13,672,052,561","4.21%","0.00","0.00","0.00","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$13,621,615,961","0.00%","0.00","0.00","0.00","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$13,587,811,658","3.12%","0.00","0.00","0.00","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$13,569,475,440","0.50%","0.00","0.00","0.00","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$13,498,313,404","0.03%","0.00","0.00","0.00","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$13,474,951,346","0.00%","0.00","0.00","0.00","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$13,426,332,810","1.49%","0.00","0.00","0.00","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$13,399,924,733","1.88%","0.00","0.00","0.00","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$13,331,514,815","4.21%","0.00","0.00","0.00","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$13,305,842,749","0.00%","0.00","0.00","0.00","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$13,294,600,774","0.00%","0.00","0.00","0.00","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$13,221,113,985","3.22%","0.00","0.00","0.00","Analyze"
